 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
A major (3#), A minor (0), A minor (0), A minor (0), G minor (2b), D minor (1b), A minor (0), A minor (0), A minor (0), C major (0), F major (1b), C major (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), C minor (3b)
C minor (3b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), F minor (4b), C minor (3b), C major (0), F major (1b), F minor (4b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), G minor (2b), F minor (4b), C minor (3b)
F# minor (3#), A minor (0), A minor (0), A minor (0), G minor (2b), D minor (1b), A minor (0), A minor (0), A minor (0), A minor (0), F major (1b), F minor (4b), C minor (3b), A minor (0), A minor (0), A minor (0), A minor (0), D minor (1b), B minor (2#), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
Ab major (4b), F minor (4b), F minor (4b), F minor (4b), Eb major (3b), Eb major (3b), Ab major (4b), F minor (4b), Ab major (4b), C minor (3b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), F major (1b), F minor (4b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), F minor (4b), Ab major (4b)
E major (4#), A minor (0), A minor (0), A minor (0), G minor (2b), D minor (1b), A minor (0), A minor (0), E minor (1#), G major (1#), G minor (2b), C minor (3b), C minor (3b), A minor (0), A minor (0), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
F minor (4b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), Bb minor (5b), F minor (4b), C minor (3b), F minor (4b), F major (1b), F minor (4b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), C minor (3b)
C# minor (4#), A minor (0), A minor (0), A minor (0), G minor (2b), Bb major (2b), Eb major (3b), C major (0), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), F major (1b), A minor (0), A minor (0), D minor (1b), B minor (2#), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Db major (5b)
B major (5#), D minor (1b), F major (1b), D minor (1b), G minor (2b), D minor (1b), F minor (4b), F minor (4b), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), F major (1b), D minor (1b), D minor (1b), D minor (1b), B minor (2#), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Bb minor (5b), F minor (4b), Bb minor (5b)
G# minor (5#), D minor (1b), F major (1b), D minor (1b), G minor (2b), D minor (1b), F minor (4b), F minor (4b), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), F major (1b), D minor (1b), D minor (1b), D minor (1b), D minor (1b), D minor (1b), D minor (1b), A minor (0), D minor (1b), A minor (0), F# major (6#)
Gb major (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b), C minor (3b), Bb minor (5b), Db major (5b), Db major (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), C minor (3b), Eb minor (6b), Bb minor (5b), Db major (5b)
F# major (6#), A minor (0), A minor (0), A minor (0), G minor (2b), D minor (1b), F minor (4b), F minor (4b), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), F major (1b), A minor (0), A minor (0), D minor (1b), B minor (2#), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Bb minor (5b), Eb minor (6b), Bb minor (5b), Bb minor (5b), C minor (3b), Eb major (3b), Ab major (4b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), C minor (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b)
D# minor (6#), A minor (0), A minor (0), A minor (0), G minor (2b), D minor (1b), F minor (4b), F minor (4b), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), F major (1b), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
Cb major (7b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Bb minor (5b), F minor (4b), F minor (4b), Ab major (4b), C minor (3b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), F minor (4b), Ab major (4b)
C# major (7#), A minor (0), A minor (0), A minor (0), G minor (2b), Bb major (2b), Eb major (3b), C major (0), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), F major (1b), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
Ab minor (7b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Bb minor (5b), F minor (4b), F minor (4b), Ab major (4b), C minor (3b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), F minor (4b), Ab major (4b)
A# minor (7#), A minor (0), A minor (0), A minor (0), G minor (2b), Bb major (2b), Eb major (3b), C major (0), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), F major (1b), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), F# major (6#)
