 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26
Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C major (0), C major (0), C major (0), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b)
A major (3#), C minor (3b), Eb major (3b), C major (0), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), G major (1#), D major (2#), A major (3#), A minor (0), C minor (3b), C minor (3b), C major (0), C major (0), C minor (3b), C major (0), Eb major (3b), C minor (3b), Eb major (3b), C major (0)
C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C major (0), C major (0), A major (3#), C major (0), Eb major (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b)
F# minor (3#), Eb major (3b), Eb major (3b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), E minor (1#), B minor (2#), B minor (2#), A minor (0), C minor (3b), C minor (3b), C major (0), C major (0), C minor (3b), C major (0), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), C major (0), G major (1#), D major (2#), F major (1b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b)
E major (4#), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), G major (1#), E minor (1#), E major (4#), G major (1#), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), G minor (2b)
F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), C major (0), C major (0), D major (2#), F major (1b), F minor (4b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), Ab major (4b), Ab major (4b), Db major (5b), Bb minor (5b)
C# minor (4#), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), G major (1#), E minor (1#), E major (4#), G major (1#), Bb major (2b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
Db major (5b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), C major (0), G major (1#), D major (2#), F major (1b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Db major (5b), Ab major (4b), Db major (5b), Bb minor (5b)
B major (5#), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), D major (2#), B minor (2#), B minor (2#), G major (1#), Bb major (2b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), G minor (2b), G major (1#), D major (2#), F major (1b), Bb major (2b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb major (2b)
G# minor (5#), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), G major (1#), B minor (2#), B minor (2#), G major (1#), Bb major (2b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
Gb major (6b), Db major (5b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Ab major (4b), Eb major (3b), C major (0), C major (0), A major (3#), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Ab major (4b), Db major (5b), Bb minor (5b)
F# major (6#), Eb major (3b), Eb major (3b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), G major (1#), B minor (2#), B minor (2#), A minor (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C major (0), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
D# minor (6#), Eb major (3b), Eb major (3b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), G major (1#), E minor (1#), B minor (2#), A minor (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
Cb major (7b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), C major (0), G major (1#), D major (2#), F major (1b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Ab major (4b), Db major (5b), Bb minor (5b)
C# major (7#), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), G major (1#), E minor (1#), E major (4#), G major (1#), Bb major (2b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
Ab minor (7b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), C major (0), G major (1#), D major (2#), F major (1b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b)
A# minor (7#), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), G major (1#), E minor (1#), E major (4#), G major (1#), Bb major (2b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b)
