 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36
F# minor (3#), F# minor (3#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), E minor (1#), E minor (1#), E major (4#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), E minor (1#), E minor (1#)
Ab major (4b), Bb minor (5b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), F major (1b), A minor (0), F major (1b), F minor (4b), F major (1b), C major (0), A major (3#), F# minor (3#), A major (3#), A major (3#), D major (2#), A major (3#), D major (2#), A major (3#), C major (0), G major (1#), C major (0), G major (1#), F major (1b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), Ab major (4b), F major (1b), F major (1b), F major (1b), C major (0), C major (0)
E major (4#), E minor (1#), G major (1#), E minor (1#), A minor (0), A minor (0), E minor (1#), E minor (1#), A minor (0), A minor (0), E minor (1#), G major (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), E major (4#), E major (4#), A major (3#), A major (3#), A major (3#), E major (4#), E minor (1#), G major (1#), G major (1#), E minor (1#), E minor (1#), G major (1#), E minor (1#), E minor (1#), G major (1#), G major (1#), G major (1#), G major (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#)
F minor (4b), Bb minor (5b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), C major (0), C major (0), A minor (0), C major (0), C minor (3b), C major (0), C major (0), A major (3#), F# minor (3#), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D minor (1b), F major (1b), C major (0), C major (0), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), F major (1b), Ab major (4b), F major (1b), F major (1b), F major (1b), C major (0), C major (0)
C# minor (4#), F# minor (3#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), E major (4#), A major (3#), E major (4#), E minor (1#), E major (4#), E minor (1#), E minor (1#), E major (4#), C# major (7#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), E major (4#), E minor (1#), B minor (2#), E minor (1#), E major (4#), E minor (1#), E major (4#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), C major (0), E minor (1#), E minor (1#)
Db major (5b), Bb minor (5b), F major (1b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F major (1b), C major (0), A minor (0), C major (0), Eb major (3b), C major (0), G major (1#), E major (4#), E major (4#), E major (4#), E major (4#), A major (3#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), Eb major (3b), C major (0), G major (1#), G major (1#), Bb major (2b), Bb minor (5b), F major (1b), F major (1b), Bb major (2b), G minor (2b), Bb major (2b)
B major (5#), E major (4#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), E major (4#), A major (3#), E major (4#), E minor (1#), B minor (2#), E minor (1#), E major (4#), B major (5#), F# major (6#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), D major (2#), D major (2#), D major (2#), D major (2#), D minor (1b), E minor (1#), E minor (1#)
Bb minor (5b), Bb minor (5b), F major (1b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F major (1b), F major (1b), A minor (0), C major (0), C minor (3b), C major (0), G major (1#), E major (4#), E major (4#), E major (4#), E major (4#), A major (3#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), F major (1b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), Bb minor (5b), F major (1b), F major (1b), Bb major (2b), G minor (2b), Bb major (2b)
G# minor (5#), C# minor (4#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), A major (3#), E major (4#), E minor (1#), B minor (2#), E minor (1#), E major (4#), B major (5#), F# major (6#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), G major (1#), C minor (3b), C major (0), C major (0), F major (1b), G major (1#), E minor (1#)
Gb major (6b), Bb minor (5b), C minor (3b), C major (0), C major (0), C minor (3b), C major (0), C major (0), C major (0), A minor (0), C major (0), Eb major (3b), C major (0), C major (0), A major (3#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), C major (0), G major (1#), C major (0), G major (1#), C major (0), Eb major (3b), C major (0), C major (0), C major (0), C major (0), Eb major (3b), C minor (3b), C major (0), F major (1b), C major (0), C major (0)
F# major (6#), F# minor (3#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), A major (3#), A major (3#), E minor (1#), B minor (2#), E minor (1#), E major (4#), B major (5#), F# major (6#), F# minor (3#), F# minor (3#), F# minor (3#), A major (3#), A major (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), G major (1#), C minor (3b), C major (0), C major (0), C major (0), A major (3#), A minor (0)
Eb minor (6b), Bb minor (5b), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b), C major (0), C major (0), A minor (0), C major (0), Eb major (3b), C major (0), C major (0), A major (3#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), C major (0), G major (1#), C major (0), G major (1#), C major (0), Eb major (3b), C major (0), C major (0), C major (0), C major (0), Eb major (3b), C minor (3b), C major (0), Eb major (3b), C major (0), C major (0)
D# minor (6#), F# minor (3#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), E minor (1#), E major (4#), B major (5#), F# major (6#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), A minor (0), A minor (0)
Cb major (7b), Bb minor (5b), F major (1b), F major (1b), F major (1b), C major (0), C major (0), C major (0), C major (0), A minor (0), C major (0), C minor (3b), C major (0), C major (0), A major (3#), F# minor (3#), A major (3#), A major (3#), D major (2#), A major (3#), D major (2#), A major (3#), C major (0), G major (1#), C major (0), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), F major (1b), Ab major (4b), F major (1b), F major (1b), F major (1b), C major (0), C major (0)
C# major (7#), C# minor (4#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), A major (3#), E major (4#), E minor (1#), E major (4#), E minor (1#), E major (4#), B major (5#), F# major (6#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), B minor (2#), B minor (2#), E minor (1#), E major (4#), E minor (1#), E major (4#), E minor (1#), E minor (1#), G major (1#), G major (1#), C minor (3b), C major (0), G major (1#), C major (0), G major (1#), E minor (1#)
Ab minor (7b), Bb minor (5b), F major (1b), F major (1b), F major (1b), C major (0), C major (0), C major (0), C major (0), A minor (0), C major (0), Eb major (3b), C major (0), C major (0), A major (3#), F# minor (3#), A major (3#), A major (3#), D major (2#), A major (3#), D major (2#), A major (3#), C major (0), G major (1#), C major (0), G major (1#), C major (0), Eb major (3b), C major (0), C major (0), C major (0), F major (1b), Ab major (4b), F major (1b), F major (1b), F major (1b), C major (0), C major (0)
A# minor (7#), A# minor (7#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), G major (1#), E minor (1#), E minor (1#), E major (4#), C# major (7#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), G major (1#), E minor (1#), E minor (1#), G major (1#), G major (1#), C minor (3b), C major (0), G major (1#), C major (0), G major (1#), E minor (1#)
