 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), C major (0), C minor (3b), C major (0), C minor (3b), C major (0), C minor (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b)
A major (3#), A minor (0), C major (0), C major (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), A minor (0), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), D major (2#), A major (3#), A minor (0), C major (0), C major (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), A minor (0)
C minor (3b), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), C minor (3b)
F# minor (3#), A minor (0), C major (0), C major (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), A minor (0), A major (3#), F# minor (3#), F# minor (3#), F# minor (3#), A major (3#), A major (3#), D major (2#), A major (3#), A minor (0), C major (0), C major (0), A minor (0), E minor (1#), A minor (0), A minor (0), F# minor (3#), F# minor (3#)
Ab major (4b), Bb major (2b), Eb major (3b), Eb major (3b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), C major (0), C minor (3b), C major (0), C minor (3b), C major (0), C minor (3b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b)
E major (4#), A minor (0), G minor (2b), G minor (2b), E minor (1#), E minor (1#), A minor (0), A minor (0), A minor (0), A minor (0), E minor (1#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), E minor (1#), A minor (0), G minor (2b), G minor (2b), E minor (1#), E minor (1#), A minor (0), A minor (0), A minor (0), A minor (0)
F minor (4b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), C major (0), C minor (3b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F minor (4b)
C# minor (4#), A# minor (7#), G minor (2b), G minor (2b), E minor (1#), E major (4#), C# minor (4#), C# minor (4#), C# major (7#), A# minor (7#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), E minor (1#), A minor (0), G minor (2b), G minor (2b), E minor (1#), C# minor (4#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#)
Db major (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Gb major (6b), Eb minor (6b), Gb major (6b), C major (0), C minor (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb minor (5b), Db major (5b)
B major (5#), E minor (1#), G minor (2b), D minor (1b), E minor (1#), E minor (1#), A minor (0), A minor (0), A minor (0), A minor (0), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), E minor (1#), A minor (0), G minor (2b), D minor (1b), E minor (1#), E major (4#), F# minor (3#), F# minor (3#), F# major (6#), F# major (6#)
Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), C major (0), C minor (3b), C major (0), C minor (3b), C major (0), C minor (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F minor (4b), Ab minor (7b), Eb minor (6b), Bb major (2b), Bb minor (5b), Bb minor (5b)
G# minor (5#), A# minor (7#), G minor (2b), D minor (1b), E minor (1#), E major (4#), C# minor (4#), C# minor (4#), C# major (7#), A# minor (7#), E major (4#), B major (5#), E major (4#), B major (5#), E major (4#), E major (4#), E minor (1#), E major (4#), A minor (0), G minor (2b), D minor (1b), E minor (1#), C# minor (4#), D# minor (6#), A# minor (7#), D# minor (6#), D# minor (6#)
Gb major (6b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), C major (0), C minor (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb minor (6b), Bb minor (5b), Db major (5b), Db major (5b)
F# major (6#), A# minor (7#), G minor (2b), D minor (1b), A minor (0), E minor (1#), A minor (0), A minor (0), F# minor (3#), A minor (0), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), A major (3#), A major (3#), D major (2#), A major (3#), A minor (0), C minor (3b), C major (0), A minor (0), E major (4#), F# minor (3#), F# minor (3#), F# major (6#), F# major (6#)
Eb minor (6b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), C major (0), C minor (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b)
D# minor (6#), A# minor (7#), D# minor (6#), A# minor (7#), E minor (1#), C# minor (4#), C# minor (4#), C# minor (4#), D# minor (6#), A# minor (7#), F# minor (3#), F# major (6#), F# minor (3#), F# major (6#), E major (4#), B major (5#), G# minor (5#), A# minor (7#), A# minor (7#), D# minor (6#), A# minor (7#), C# minor (4#), G# minor (5#), D# minor (6#), A# minor (7#), D# minor (6#), D# minor (6#)
Cb major (7b), Bb minor (5b), Bb major (2b), F major (1b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), C major (0), C minor (3b), C major (0), C minor (3b), C major (0), C minor (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), F minor (4b), Ab minor (7b), Eb minor (6b), Bb minor (5b), Db major (5b), Gb major (6b)
C# major (7#), A# minor (7#), G minor (2b), G minor (2b), E minor (1#), E major (4#), C# minor (4#), C# minor (4#), C# major (7#), A# minor (7#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), C# minor (4#), A# minor (7#), G minor (2b), G minor (2b), E minor (1#), C# minor (4#), F# minor (3#), F# minor (3#), F# major (6#), F# major (6#)
Ab minor (7b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), F minor (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Ab major (4b)
A# minor (7#), A# minor (7#), D# minor (6#), A# minor (7#), E minor (1#), C# minor (4#), C# major (7#), C# minor (4#), C# major (7#), A# minor (7#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), C# minor (4#), A# minor (7#), D# minor (6#), A# minor (7#), E minor (1#), C# minor (4#), D# minor (6#), A# minor (7#), A# minor (7#), A# minor (7#)
