 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), C major (0)
A major (3#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), D minor (1b), A minor (0), D minor (1b), A minor (0), D minor (1b), A minor (0), D minor (1b), A minor (0)
C minor (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Eb minor (6b), Eb major (3b), C major (0), C major (0), C major (0), G minor (2b), C major (0), C major (0), C major (0)
F# minor (3#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), D minor (1b), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), A minor (0), A minor (0)
Ab major (4b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Cb major (7b), Ab minor (7b), Cb major (7b), Ab minor (7b), Cb major (7b), Ab minor (7b), Ab minor (7b), Eb major (3b), F major (1b), F major (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b)
E major (4#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Bb minor (5b), G minor (2b), E minor (1#), A minor (0), A minor (0), D minor (1b), A minor (0), A minor (0), E minor (1#)
F minor (4b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b)
C# minor (4#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Bb minor (5b), G minor (2b), E minor (1#), A minor (0), E minor (1#), G minor (2b), G major (1#), C major (0), G major (1#)
Db major (5b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Bb major (2b), F major (1b), Bb major (2b), F major (1b), Bb major (2b), F major (1b), F major (1b), C major (0)
B major (5#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), D minor (1b), A minor (0), D minor (1b), D major (2#), D minor (1b), D major (2#), D minor (1b), D major (2#)
Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b)
G# minor (5#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), D minor (1b), A minor (0), D minor (1b), D major (2#), D minor (1b), A minor (0), D minor (1b), B minor (2#)
Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Gb major (6b), Eb major (3b), C major (0), F major (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), C major (0)
F# major (6#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), G minor (2b), A minor (0), D minor (1b), A minor (0), D minor (1b), A minor (0), D minor (1b), B minor (2#)
Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Eb major (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b), C minor (3b), F minor (4b), C minor (3b)
D# minor (6#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), G minor (2b), A minor (0), D minor (1b), A minor (0), D minor (1b), A minor (0), D minor (1b), A minor (0)
Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), C major (0)
C# major (7#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Bb minor (5b), G minor (2b), G major (1#), C major (0), G major (1#), G minor (2b), G major (1#), C major (0), G major (1#)
Ab minor (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Cb major (7b), Eb major (3b), F major (1b), F major (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), C major (0)
A# minor (7#), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Gb major (6b), Db major (5b), Bb minor (5b), G minor (2b), G major (1#), C major (0), G major (1#), G minor (2b), G major (1#), C major (0), G major (1#)
