 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, rowcost
C major (0), 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+4:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 5+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:1:0:0:1, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 6+0+4:0:0:0:0, 5+0+4:1:0:0:0, 5+0+1:0:0:0:0, 6+0+5:0:0:0:0, 4+0+3:0:0:0:0, 4+0+3:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:1, 6+0+4:0:0:0:0, 5+0+3:1:0:0:1, 3+0+3:0:0:0:0, 4+0+2:0:0:0:0, 4+0+2:0:0:0:1, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+5:0:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 3+0+4:1:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+3:0:0:0:0, 4+0+2:0:0:0:0, 4+0+2:0:0:0:0, 2+0+3:1:0:0:0, 2+0+2:0:0:0:0, 3+0+2:1:0:0:1, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 5+0+4:0:0:0:1, 8+0+6:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+5:3:0:0:3, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 5+0+4:1:0:0:0, 4+0+3:0:0:0:0, 207+0+120:10:0:0:10
A minor (0), 2+0+2:0:0:0:0, 2+0+3:0:0:0:0, 4+0+4:0:0:0:1, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 5+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:1:0:0:1, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 6+0+4:0:0:0:0, 5+0+4:1:0:0:0, 5+0+1:0:0:0:0, 6+0+5:0:0:0:0, 4+0+3:0:0:0:0, 4+0+3:1:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+2:0:0:0:0, 6+0+7:0:0:0:0, 5+0+3:1:0:0:1, 3+0+4:1:0:0:0, 4+0+3:0:0:0:0, 4+0+2:0:0:0:1, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 5+0+3:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4+0+4:0:0:0:0, 4+0+2:1:0:0:0, 4+0+1:0:0:0:0, 3+0+4:1:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 4+0+3:0:0:0:0, 4+0+2:0:0:0:0, 2+0+3:1:0:0:0, 2+0+2:0:0:0:0, 3+0+2:1:0:0:1, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 5+0+4:0:0:0:1, 8+0+6:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 5+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 5+0+4:1:0:0:0, 4+0+3:0:0:0:0, 209+0+126:10:0:0:6
F major (1b), 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:1:0:1, 1+0+0:0:0:0:0, 2+0+4:1:0:0:1, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 4+0+3:2:0:0:2, 3+0+1:0:0:0:0, 6+0+5:0:0:0:0, 4+0+2:0:0:0:1, 4+0+2:0:1:0:0, 3+0+2:0:0:0:1, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+1:0:0:0:1, 4+0+4:0:0:0:0, 4+0+3:1:0:0:1, 3+0+1:0:0:0:0, 4+0+2:0:1:0:1, 5+0+4:0:0:0:1, 3+0+0:0:0:0:0, 2+0+1:0:0:0:1, 2+0+0:0:0:0:0, 3+0+4:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 4+0+4:1:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+3:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 3+0+3:1:0:0:0, 2+0+0:0:0:0:0, 4+0+4:1:0:0:2, 2+0+1:1:0:0:1, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+1:1:0:0:0, 5+0+1:1:0:0:0, 5+0+4:0:0:0:1, 7+0+6:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:2:0:0:2, 3+0+3:0:0:0:0, 189+0+101:12:3:0:18
G major (1#), 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 5+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 6+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:1:0:0:1, 4+0+2:0:0:0:0, 4+0+0:0:0:0:0, 6+0+1:0:0:0:1, 4+0+4:0:0:0:0, 6+0+1:0:0:0:0, 6+0+5:0:0:0:0, 4+0+3:0:0:0:0, 3+0+3:0:0:0:0, 2+0+3:1:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:1, 5+0+3:0:0:0:2, 6+0+3:1:0:0:1, 4+0+0:0:0:0:0, 5+0+2:0:0:0:0, 3+0+4:1:0:0:1, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+5:3:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5+0+3:0:0:0:0, 6+0+1:0:0:0:0, 5+0+1:0:0:0:0, 2+0+4:0:0:0:0, 5+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 1+0+3:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:1:0:0:1, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 5+0+4:0:0:0:0, 9+0+4:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+5:3:0:0:3, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+4:0:0:0:0, 4+0+3:0:0:0:0, 207+0+112:11:0:0:11
D minor (1b), 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+4:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:1:0:1, 1+0+0:0:0:0:0, 2+0+4:1:0:0:1, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 4+0+3:2:0:0:2, 3+0+1:0:0:0:0, 6+0+5:0:0:0:0, 3+0+1:1:0:0:1, 4+0+1:0:1:0:0, 3+0+3:1:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+1:0:0:0:1, 4+0+4:0:0:0:0, 4+0+3:1:0:0:1, 3+0+3:0:0:0:0, 4+0+2:0:1:0:1, 5+0+4:0:0:0:1, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+4:0:0:0:2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0, 4+0+4:1:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+3:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 3+0+3:1:0:0:0, 2+0+0:0:0:0:0, 4+0+4:1:0:0:1, 2+0+1:1:0:0:1, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+1:0:0:0:0, 5+0+1:1:0:0:0, 5+0+4:0:0:0:1, 7+0+6:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 4+0+3:2:0:0:2, 3+0+3:0:0:0:0, 188+0+107:13:3:0:17
E minor (1#), 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 6+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:1:0:0:1, 4+0+2:0:0:0:0, 4+0+0:0:0:0:0, 6+0+1:0:0:0:1, 3+0+3:1:0:0:1, 6+0+1:0:0:0:0, 6+0+5:0:0:0:0, 4+0+4:1:0:0:0, 3+0+2:0:0:0:1, 2+0+3:1:0:0:0, 0+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:1, 5+0+3:0:0:0:2, 6+0+3:1:0:0:1, 4+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 6+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 4+0+4:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5+0+3:0:0:0:1, 6+0+4:0:0:0:0, 5+0+1:0:0:0:0, 2+0+4:0:0:0:0, 5+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:1, 1+0+3:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:1:0:0:1, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 5+0+4:0:0:0:0, 9+0+4:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+5:3:0:0:3, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+4:0:0:0:0, 4+0+3:0:0:0:0, 209+0+108:9:0:0:14
Bb major (2b), 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:1, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:1:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:1, 4+0+3:1:0:0:1, 3+0+1:0:0:0:0, 7+0+5:0:0:0:4, 3+0+2:0:0:0:1, 3+0+1:0:1:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 6+0+1:0:0:0:0, 6+0+2:0:0:0:0, 3+0+1:0:0:0:0, 6+0+6:0:2:0:2, 2+0+0:0:0:0:0, 4+0+2:0:1:0:1, 4+0+4:0:0:0:1, 2+0+0:0:0:0:0, 1+0+1:0:0:0:1, 2+0+0:0:0:0:0, 2+0+3:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0,  , 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+4:0:0:0:2, 1+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:1:0:0:0, 3+0+2:0:0:0:0, 5+0+2:1:0:0:1, 2+0+2:0:0:0:0, 4+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 7+0+1:1:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:1:0:0, 6+0+4:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+3:1:0:0:2, 3+0+3:0:1:0:0, 172+0+90:5:7:0:18
D major (2#), 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 1+0+3:0:0:0:0, 6+0+2:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:1:0:0:1, 5+0+2:0:0:0:0, 4+0+0:0:0:0:0, 7+0+1:0:0:0:1, 4+0+3:1:0:0:1, 6+0+1:0:0:0:0, 3+0+5:1:0:0:1, 2+0+2:2:0:0:1, 3+0+2:0:0:0:0, 1+0+2:1:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:1, 5+1+5:0:0:0:0, 7+0+3:1:0:0:1, 5+0+3:0:0:0:0, 6+0+2:0:0:0:0, 3+0+5:1:0:0:1, 4+0+4:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+5:2:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5+0+3:0:0:0:0, 6+0+2:0:0:0:0, 6+0+1:0:0:0:0, 2+0+4:0:0:0:0, 6+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 6+0+1:0:0:0:0, 1+0+2:0:0:0:0, 0+0+3:0:0:0:0, 3+0+2:0:0:0:0, 4+0+2:0:0:0:0, 1+0+3:0:0:0:0, 1+0+2:0:0:0:0, 2+0+4:1:0:0:1, 1+0+1:1:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:0, 7+0+4:0:0:0:0, 10+0+6:0:0:0:0, 5+0+1:0:0:0:0, 2+0+0:0:0:0:0, 6+0+5:3:0:0:3, 2+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+3:1:0:0:1, 5+0+3:0:0:0:0, 212+1+119:17:0:0:14
G minor (2b), 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:1:0:1, 1+0+0:0:0:0:0, 3+0+4:1:0:0:1, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:1, 4+0+3:1:0:0:1, 3+0+1:0:0:0:0, 7+0+5:0:0:0:0, 3+0+3:0:0:0:0, 3+0+1:0:1:0:0, 3+0+3:1:0:0:0, 1+0+0:0:0:0:0, 6+0+1:0:0:0:0, 6+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+3:1:0:0:1, 2+0+0:0:0:0:0, 4+0+2:0:1:0:1, 4+0+4:0:0:0:1, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 4+0+4:1:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0,  , 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:1:0:0:0, 3+0+2:0:0:0:0, 5+0+2:1:0:0:1, 2+0+2:0:0:0:0, 4+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 7+0+1:1:0:0:0, 4+0+2:0:0:0:0, 4+0+4:0:0:0:1, 6+0+4:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+4:1:0:0:0, 3+0+3:0:1:0:0, 175+0+97:9:4:0:9
B minor (2#), 3+0+2:1:0:0:0, 3+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 1+0+1:0:0:0:0, 7+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:1:0:0:1, 5+0+2:0:0:0:0, 4+0+0:0:0:0:0, 7+0+1:0:0:0:1, 4+0+3:1:0:0:1, 6+0+1:0:0:0:0, 4+0+6:0:0:0:0, 4+0+0:0:0:0:0, 6+0+1:0:0:0:1, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:1, 6+0+4:0:0:0:0, 7+0+3:1:0:0:1, 5+0+1:0:0:0:0, 6+0+2:0:0:0:0, 3+0+5:1:0:0:1, 6+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+4:0:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6+0+1:0:0:0:0, 6+0+1:0:0:0:0, 6+0+1:0:0:0:0, 2+0+4:0:0:0:0, 6+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 6+0+1:0:0:0:0, 1+0+2:0:0:0:0, 0+0+3:0:0:0:0, 3+0+2:0:0:0:0, 4+0+2:0:0:0:0, 1+0+3:0:0:0:0, 1+0+2:0:0:0:0, 2+0+4:1:0:0:1, 1+0+1:1:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+3:0:0:0:0, 7+0+4:0:0:0:0, 10+0+6:0:0:0:0, 5+0+1:0:0:0:0, 2+0+0:0:0:0:0, 6+0+5:3:0:0:3, 2+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+3:1:0:0:1, 5+0+3:0:0:0:0, 225+0+108:11:0:0:14
