 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), F major (1b), Bb major (2b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Eb minor (6b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b)
A major (3#), C major (0), C minor (3b), C minor (3b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), C major (0), F major (1b), C major (0), A minor (0), C major (0), A minor (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), A minor (0), C major (0)
C minor (3b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), C major (0), C major (0), C minor (3b), Eb major (3b), C major (0), C major (0), F minor (4b)
F# minor (3#), C major (0), C minor (3b), F minor (4b), F minor (4b), F major (1b), C major (0), A minor (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), C major (0), F major (1b), C major (0), A minor (0), C major (0), A minor (0), A minor (0), A minor (0), C minor (3b), C major (0), C major (0), A minor (0), C major (0)
Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), F major (1b), Eb major (3b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b), F minor (4b), F major (1b), F minor (4b), F major (1b), F major (1b), F minor (4b), Ab major (4b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b)
E major (4#), G major (1#), G minor (2b), C minor (3b), F minor (4b), F major (1b), C major (0), A minor (0), G minor (2b), F minor (4b), F minor (4b), C minor (3b), C major (0), F major (1b), C major (0), A minor (0), C major (0), A minor (0), A minor (0), E minor (1#), G major (1#), C major (0), C major (0), A minor (0), C major (0)
F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b)
C# minor (4#), C major (0), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), D minor (1b), F major (1b), C major (0), C minor (3b), C major (0), C major (0), A minor (0), C major (0)
Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Eb minor (6b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b)
B major (5#), F major (1b), G minor (2b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b)
Bb minor (5b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Eb minor (6b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b)
G# minor (5#), F major (1b), G minor (2b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b)
Gb major (6b), Eb major (3b), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Db major (5b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Eb minor (6b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b)
F# major (6#), C major (0), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), D minor (1b), F major (1b), C major (0), C minor (3b), C major (0), C major (0), A minor (0), C major (0)
Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Eb minor (6b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b)
D# minor (6#), C major (0), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), D minor (1b), F major (1b), C major (0), C minor (3b), C major (0), C major (0), A minor (0), C major (0)
Cb major (7b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), F minor (4b), Bb minor (5b), Db major (5b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b), F minor (4b), F major (1b), F minor (4b), F major (1b), F major (1b), F minor (4b), Ab minor (7b), Ab major (4b), F minor (4b), F major (1b), F minor (4b)
C# major (7#), C major (0), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), D minor (1b), F major (1b), C major (0), C minor (3b), C major (0), C major (0), A minor (0), C major (0)
Ab minor (7b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), F minor (4b), Bb minor (5b), F minor (4b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), Ab minor (7b), Ab major (4b), F minor (4b), F major (1b), F minor (4b)
A# minor (7#), C major (0), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), D minor (1b), F major (1b), C major (0), C minor (3b), C major (0), C major (0), A minor (0), C major (0)
