name,KSgt,KSest,notes,err,success
Afro blue,,-4.0,215,0,100.00
Afternoon in Paris,,0.0,246,0,100.00
Airegin,,-4.0,218,11,94.95
Alice in wonderland,,0.0,302,5,98.34
All blues,0,1.0,69,3,95.65
All in love is fair,,-1.0,282,2,99.29
All my tomorrows,,1.0,319,16,94.98
All of me,,0.0,176,6,96.59
All of you,,-3.0,228,3,98.68
All the things you are,-4,-3.0,226,3,98.67
Alone together,,-1.0,253,4,98.42
Ana Maria,,-3.0,356,10,97.19
Angel eyes,,-3.0,397,19,95.21
Anthropology,,-2.0,318,4,98.74
April in Paris,,0.0,272,11,95.96
April in Paris-mod,,0.0,271,6,97.79
Autumn in New York,,-1.0,331,6,98.19
Autumn leaves,,-2.0,163,1,99.39
Avalon,,-2.0,126,1,99.21
Beautiful love,,-1.0,138,2,98.55
Bessie's blues,-3,-4.0,189,1,99.47
Bewitched,,0.0,256,1,99.61
Birth of the blues,,0.0,302,20,93.38
Black Orpheus,0,-1.0,346,3,99.13
Black and tan fantasy,,-5.0,205,6,97.07
Black narcissus,0,5.0,149,90,39.60
Black nile,,-1.0,351,24,93.16
Blessed relief,,-1.0,200,1,99.50
Blue Monk,,-2.0,114,2,98.25
Blue bossa,,-3.0,102,0,100.00
Blue in green,0,-1.0,108,6,94.44
Blue moon,,-3.0,474,24,94.94
Blue room,,-1.0,253,0,100.00
Blue trane,,-3.0,129,0,100.00
Bluesette,-2,-4.0,122,1,99.18
Body and soul,,-5.0,328,10,96.95
Bohemia after dark,,-2.0,258,4,98.45
Boplicity,,-1.0,291,11,96.22
Bud's blues,-2,-5.0,74,0,100.00
But beautiful,,1.0,257,4,98.44
Bye bye blackbird,0,-1.0,266,4,98.50
Caravan,,-4.0,175,14,92.00
Ceora,-4,-3.0,288,12,95.83
Cherokee,-2,-3.0,323,11,96.59
Chicken feathers,,-2.0,185,0,100.00
Come sunday,,-2.0,212,11,94.81
Con Alma,0,-7.0,134,44,67.16
Confirmation,,-1.0,379,15,96.04
Corcovado,,0.0,342,20,94.15
Cottontail,,-4.0,197,4,97.97
Cry me a river,,-3.0,341,10,97.07
Crystal silence,,0.0,271,2,99.26
Daahood,-3,-6.0,291,4,98.63
Dancing on the ceiling,,-1.0,200,5,97.50
