 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38
Eb major (3b), Bb major (2b), Eb minor (6b), Eb minor (6b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Gb major (6b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Eb minor (6b), Eb minor (6b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b)
A major (3#), D major (2#), D major (2#), B minor (2#), A minor (0), C major (0), A minor (0), E minor (1#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), F major (1b), D minor (1b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), D minor (1b), F major (1b), F major (1b), D minor (1b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), C major (0), D major (2#), D major (2#), D major (2#), B minor (2#), A minor (0), C major (0), A minor (0), E minor (1#), D major (2#), D major (2#)
C minor (3b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Gb major (6b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb minor (6b), Eb major (3b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b)
F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), B minor (2#), B minor (2#), E minor (1#), B minor (2#), D major (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), C major (0), C minor (3b), Eb major (3b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), D major (2#), F major (1b), F minor (4b), F minor (4b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#)
Ab major (4b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab minor (7b), Ab minor (7b), Ab major (4b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Gb major (6b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b)
E major (4#), E minor (1#), E minor (1#), B minor (2#), G major (1#), G major (1#), E minor (1#), E minor (1#), E minor (1#), G major (1#), E minor (1#), E minor (1#), E minor (1#), G major (1#), Bb major (2b), Eb major (3b), Eb major (3b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), D major (2#), F major (1b), F minor (4b), F minor (4b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), G minor (2b), G major (1#), G major (1#), E minor (1#), B minor (2#), G major (1#), G major (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#)
F minor (4b), F major (1b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F major (1b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), Bb minor (5b), Bb minor (5b), Eb minor (6b), F major (1b), F minor (4b), F minor (4b), F minor (4b), F major (1b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb major (3b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b)
C# minor (4#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), E minor (1#), E major (4#), G# minor (5#), G# minor (5#), F# minor (3#), G# minor (5#), G# minor (5#), B minor (2#), E minor (1#), C# major (7#), C# major (7#), G# minor (5#), F# minor (3#), C# major (7#), C# major (7#), C# major (7#), C# minor (4#), C# major (7#), C# major (7#), G# minor (5#), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), E minor (1#), E major (4#), G# minor (5#), G# minor (5#), G# minor (5#)
Db major (5b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab major (4b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Gb major (6b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab major (4b), Ab major (4b)
B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), D major (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), F major (1b), F minor (4b), F minor (4b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), D major (2#), F major (1b), F minor (4b), F minor (4b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), F# minor (3#), B minor (2#), D major (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B major (5#), G# minor (5#), G# minor (5#), G# minor (5#)
Bb minor (5b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), C minor (3b), Eb minor (6b), Ab minor (7b), F minor (4b), F major (1b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Bb major (2b), Bb minor (5b), Db major (5b), Gb major (6b), F major (1b), F minor (4b), F minor (4b), F minor (4b), Bb major (2b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), C minor (3b), Eb minor (6b), Ab minor (7b), F minor (4b), F minor (4b)
G# minor (5#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B major (5#), G# minor (5#), G# minor (5#), B minor (2#), G# minor (5#), G# minor (5#), G# minor (5#), F major (1b), F minor (4b), F minor (4b), F minor (4b), D# minor (6#), A# minor (7#), A# minor (7#), D# minor (6#), C# minor (4#), C# major (7#), C# major (7#), G# minor (5#), D# minor (6#), A# minor (7#), A# minor (7#), D# minor (6#), A# minor (7#), B minor (2#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B major (5#), G# minor (5#), G# minor (5#), G# minor (5#)
Gb major (6b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Db major (5b), Gb major (6b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Db major (5b), Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b)
F# major (6#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), B minor (2#), B major (5#), G# minor (5#), G# minor (5#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), G major (1#), C minor (3b), Eb major (3b), Eb major (3b), F# minor (3#), C# major (7#), C# major (7#), F# major (6#), C# minor (4#), C# major (7#), C# major (7#), G# minor (5#), D# minor (6#), C# major (7#), C# major (7#), F# major (6#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), B minor (2#), B major (5#), G# minor (5#), G# minor (5#), G# minor (5#)
Eb minor (6b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Gb major (6b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b)
D# minor (6#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), B minor (2#), B major (5#), G# minor (5#), G# minor (5#), F# minor (3#), G# minor (5#), G# minor (5#), G# minor (5#), E minor (1#), C# major (7#), A# minor (7#), G# minor (5#), D# minor (6#), A# minor (7#), A# minor (7#), F# major (6#), C# minor (4#), C# major (7#), A# minor (7#), G# minor (5#), D# minor (6#), A# minor (7#), A# minor (7#), D# minor (6#), A# minor (7#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), A minor (0), B minor (2#), B major (5#), G# minor (5#), G# minor (5#), G# minor (5#)
Cb major (7b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), C minor (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Eb major (3b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Gb major (6b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), C minor (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b)
C# major (7#), F# minor (3#), F# minor (3#), B minor (2#), G major (1#), G major (1#), E major (4#), G# minor (5#), G# minor (5#), F# minor (3#), G# minor (5#), G# minor (5#), G# minor (5#), E minor (1#), C# major (7#), C# major (7#), G# minor (5#), D# minor (6#), A# minor (7#), C# major (7#), C# major (7#), C# minor (4#), C# major (7#), C# major (7#), G# minor (5#), D# minor (6#), A# minor (7#), C# major (7#), C# major (7#), A# minor (7#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), G major (1#), G major (1#), E major (4#), G# minor (5#), G# minor (5#), G# minor (5#)
Ab minor (7b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab major (4b), Eb major (3b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Cb major (7b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b)
A# minor (7#), F# minor (3#), F# minor (3#), B minor (2#), G major (1#), G major (1#), E major (4#), G# minor (5#), G# minor (5#), F# minor (3#), G# minor (5#), G# minor (5#), G# minor (5#), E minor (1#), C# major (7#), A# minor (7#), G# minor (5#), D# minor (6#), A# minor (7#), A# minor (7#), C# major (7#), C# minor (4#), C# major (7#), A# minor (7#), G# minor (5#), D# minor (6#), A# minor (7#), A# minor (7#), D# minor (6#), A# minor (7#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), G major (1#), G major (1#), E major (4#), G# minor (5#), G# minor (5#), G# minor (5#)
