 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26
C minor (3b), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), C minor (3b)
F# minor (3#), F# minor (3#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), F# major (6#), F# minor (3#), F# major (6#), G# minor (5#), F# major (6#), F# major (6#), F# minor (3#), C# minor (4#), D# minor (6#), F# minor (3#), F# minor (3#), F# minor (3#), E minor (1#), E minor (1#), A minor (0), D# minor (6#), G# minor (5#), G# minor (5#), F# major (6#), F# minor (3#), F# major (6#), F# major (6#)
Ab major (4b), C minor (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b)
E major (4#), E minor (1#), A minor (0), E major (4#), G# minor (5#), G# minor (5#), B major (5#), B minor (2#), F# major (6#), E major (4#), F# major (6#), B major (5#), B minor (2#), E minor (1#), E major (4#), A major (3#), A minor (0), A minor (0), E minor (1#), E minor (1#), A minor (0), E major (4#), G# minor (5#), G# minor (5#), B major (5#), B minor (2#), F# major (6#), B major (5#)
F minor (4b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Eb minor (6b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), Bb minor (5b), Bb minor (5b)
C# minor (4#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), C# major (7#), C# minor (4#), F# minor (3#), C# minor (4#), C# minor (4#), F# minor (3#), F# minor (3#), F# minor (3#), C# minor (4#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), F# minor (3#), C# major (7#), C# minor (4#)
Db major (5b), C minor (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), C minor (3b), Eb major (3b), Ab major (4b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), Bb minor (5b), Db major (5b)
B major (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), F# major (6#), B major (5#), B minor (2#), C# minor (4#), D# minor (6#), D# minor (6#), F# major (6#), F# major (6#), B major (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), B major (5#), B minor (2#), F# major (6#), B major (5#)
Bb minor (5b), F major (1b), Bb major (2b), Bb major (2b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), Bb minor (5b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), F minor (4b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b)
G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), A# minor (7#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), C# minor (4#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#)
Gb major (6b), C minor (3b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), C minor (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), C minor (3b), C major (0), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b)
F# major (6#), F# minor (3#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), A# minor (7#), D# minor (6#), D# minor (6#), F# major (6#), F# major (6#), B major (5#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), F# major (6#), F# major (6#)
Eb minor (6b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), C minor (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b)
D# minor (6#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), A# minor (7#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), A# minor (7#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#)
Cb major (7b), C minor (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Gb major (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b), C minor (3b), C major (0), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Gb major (6b), Gb major (6b)
C# major (7#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), D# minor (6#), A# minor (7#), G# minor (5#), C# major (7#), F# major (6#), D# minor (6#), A# minor (7#), D# minor (6#), D# minor (6#), F# major (6#), C# major (7#), C# minor (4#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), D# minor (6#), F# major (6#), F# major (6#)
Ab minor (7b), C minor (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), C minor (3b), C major (0), Eb major (3b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Eb minor (6b)
A# minor (7#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), A# minor (7#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), A# minor (7#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), A# minor (7#), A# minor (7#)
