 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
C# minor (4#), Bb major (2b), D minor (1b), A minor (0), D minor (1b), D minor (1b), A minor (0), E minor (1#), D minor (1b), F major (1b), F major (1b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Bb major (2b), D minor (1b), D major (2#), G major (1#), D major (2#), D minor (1b), A minor (0), E minor (1#), D minor (1b), A minor (0)
Db major (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb minor (5b)
B major (5#), F major (1b), D major (2#), D major (2#), D major (2#), D minor (1b), A minor (0), E minor (1#), D minor (1b), D minor (1b), F major (1b), F minor (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), D minor (1b), D major (2#), D major (2#), D major (2#), D minor (1b), A minor (0), E minor (1#), D minor (1b), A minor (0)
Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), Bb major (2b), F major (1b)
G# minor (5#), F major (1b), D minor (1b), D major (2#), D major (2#), D minor (1b), A minor (0), A minor (0), D minor (1b), F major (1b), F major (1b), F minor (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), D minor (1b), D major (2#), G major (1#), D major (2#), D minor (1b), A minor (0), A minor (0), D minor (1b), A minor (0)
Gb major (6b), Bb minor (5b), Bb major (2b), F major (1b), D minor (1b), F major (1b), Bb major (2b), G minor (2b), Eb major (3b), Bb major (2b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), D minor (1b), F major (1b), Bb major (2b), G minor (2b), Bb major (2b), Bb minor (5b)
F# major (6#), F major (1b), D minor (1b), A minor (0), D minor (1b), D minor (1b), A minor (0), A major (3#), D minor (1b), F major (1b), F major (1b), F minor (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), D minor (1b), D minor (1b), A minor (0), D minor (1b), D minor (1b), A minor (0), A major (3#), D minor (1b), A minor (0)
Eb minor (6b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Ab minor (7b), Ab major (4b), Ab major (4b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb minor (5b)
D# minor (6#), F major (1b), D minor (1b), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), D minor (1b), F major (1b), F major (1b), F minor (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), D minor (1b), D minor (1b), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), D minor (1b), A minor (0)
Cb major (7b), Bb minor (5b), Bb major (2b), F major (1b), D minor (1b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Ab minor (7b), Ab major (4b), Ab major (4b), Eb major (3b), F major (1b), D minor (1b), F major (1b), D minor (1b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b)
C# major (7#), Bb major (2b), D minor (1b), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), D minor (1b), F major (1b), F major (1b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Bb major (2b), D minor (1b), D major (2#), G major (1#), D major (2#), D minor (1b), A minor (0), A minor (0), D minor (1b), A minor (0)
Ab minor (7b), Bb minor (5b), Bb major (2b), F major (1b), D minor (1b), F major (1b), F major (1b), C major (0), Eb major (3b), Bb major (2b), Bb minor (5b), Db major (5b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b), Eb major (3b), F major (1b), D minor (1b), F major (1b), D minor (1b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b)
A# minor (7#), Bb major (2b), D minor (1b), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), D minor (1b), F major (1b), F major (1b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Bb major (2b), D minor (1b), D major (2#), G major (1#), D major (2#), D minor (1b), A minor (0), A minor (0), D minor (1b), A minor (0)
