 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, rowcost
C major (0), 0+0+0:0:0:0:0, 3+0+2:1:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:1:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:2:0:0:2, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+7:0:0:0:2, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+2:0:0:0:0,  , 2+0+2:0:0:0:0, 6+0+3:1:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+4:0:0:0:1, 4+0+4:0:0:0:0, 3+0+3:0:0:0:0, 4+0+5:0:0:0:0, 3+0+1:1:0:0:1, 2+0+2:1:0:0:1, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 100+0+77:7:0:0:10
A minor (0), 0+0+0:0:0:0:0, 2+0+2:0:0:0:2, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:1:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:2:0:0:2, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+4:0:0:0:1, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+2:0:0:0:0,  , 2+0+2:0:0:0:0, 6+0+3:1:0:0:0, 2+0+1:0:0:0:0, 2+0+3:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+4:0:0:0:1, 4+0+4:0:0:0:0, 3+0+3:0:0:0:0, 4+0+5:0:0:0:0, 3+0+2:1:0:0:1, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:1, 0+0+0:0:0:0:0, 98+0+79:5:0:0:10
F major (1b), 0+0+0:0:0:0:0, 2+0+2:1:0:0:2, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+4:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:2:0:0:2, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+4:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0,  , 2+0+4:1:0:0:1, 6+0+3:0:0:0:1, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:0:0:1, 3+0+4:0:0:0:0, 3+0+2:0:0:0:1, 4+0+4:0:0:0:1, 2+0+1:1:0:0:1, 2+0+2:1:0:0:1, 0+0+1:0:0:0:0, 1+0+3:1:0:0:1, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 73+0+76:8:0:0:14
G major (1#), 0+0+0:0:0:0:0, 4+0+3:1:0:0:1, 2+0+1:0:0:0:0, 1+0+4:0:0:0:0, 1+0+4:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 6+0+3:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+2:2:0:0:0, 4+0+7:0:0:0:0, 4+0+0:0:0:0:0, 2+0+2:0:0:0:0,  , 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+4:0:0:0:1, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 4+0+4:0:0:0:0, 4+0+3:0:0:0:0,  , 3+0+2:0:0:0:0, 5+0+3:0:0:0:0, 2+0+3:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:0:0:0:1, 5+0+4:0:0:0:0, 3+0+2:0:0:0:0, 3+0+3:0:0:0:0, 3+0+1:1:0:0:1, 3+0+2:1:0:0:1, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 136+0+98:5:0:0:6
D minor (1b), 0+0+0:0:0:0:0, 2+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+4:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:2:0:0:2, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+4:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+2:0:0:0:0,  , 2+0+4:1:0:0:1, 6+0+4:1:0:0:0, 1+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:0:0:1, 3+0+4:0:0:0:0, 3+0+3:0:0:0:0, 4+0+5:0:0:0:0, 2+0+1:1:0:0:1, 2+0+2:1:0:0:1, 0+0+0:0:0:0:0, 1+0+3:1:0:0:1, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 73+0+78:9:0:0:11
E minor (1#), 0+0+0:0:0:0:0, 4+0+3:1:0:0:1, 2+0+1:0:0:0:0, 1+0+4:0:0:0:0, 1+0+4:0:0:0:0, 1+0+0:0:0:0:0, 4+0+5:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:2:0:0:0, 0+0+0:0:0:0:0, 6+0+4:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+5:0:0:0:0, 1+0+2:0:0:0:0, 3+0+2:0:0:0:0, 4+0+6:0:0:0:0, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+2:2:0:0:0, 4+0+7:0:0:0:0, 4+0+0:0:0:0:0, 2+0+2:0:0:0:0,  , 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+1:1:0:0:0, 4+0+2:1:0:0:0, 2+0+2:2:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:0:0:1, 0+0+1:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 4+0+4:0:0:0:0, 4+0+3:0:0:0:0,  , 3+0+2:0:0:0:0, 5+0+5:4:0:0:0, 2+0+2:1:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:0:0:0:1, 5+0+5:1:0:0:0, 3+0+2:0:0:0:1, 3+0+3:0:0:0:0, 3+0+1:1:0:0:0, 3+0+2:1:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+4:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 134+0+125:17:0:0:4
Bb major (2b), 0+0+0:0:0:0:0, 2+0+2:1:0:0:2, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:1, 2+0+1:0:0:0:1, 0+0+0:0:0:0:0, 4+0+3:0:0:0:0, 5+0+2:2:0:0:0, 3+0+7:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+4:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+4:1:0:0:1, 5+0+3:0:0:0:1, 3+0+3:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:1, 1+0+1:0:0:0:0, 6+0+3:0:0:0:3, 2+0+3:0:0:0:0, 2+0+2:0:0:0:1, 3+0+4:0:0:0:1, 1+0+1:1:0:0:1, 3+0+2:1:0:0:1, 1+0+1:0:0:0:0, 2+0+3:1:0:0:1, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 84+0+75:7:0:0:16
D major (2#), 1+0+1:0:0:0:0, 4+0+2:1:0:0:1, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+4:0:0:0:0, 2+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 6+0+2:1:0:0:1, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 5+0+4:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+2:2:0:0:0, 5+0+7:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:0:0:1, 1+0+1:0:0:0:0, 4+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+2:0:0:0:0,  , 4+0+2:0:0:0:0, 4+0+5:4:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+4:0:0:0:1, 4+0+4:0:0:0:0, 4+0+3:0:0:0:0, 4+0+5:0:0:0:0, 4+0+2:1:0:0:1, 3+0+2:1:0:0:0, 1+0+1:0:0:0:0, 0+0+3:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 173+0+90:10:0:0:5
G minor (2b), 0+0+0:0:0:0:0, 2+0+2:1:0:0:2, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+3:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+1:0:0:0:0, 4+0+5:0:0:0:0, 5+0+2:2:0:0:0, 3+0+7:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+4:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0,  , 3+0+4:1:0:0:1, 5+0+3:0:0:0:1, 3+0+3:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:1, 1+0+1:0:0:0:0, 6+0+3:0:0:0:3, 2+0+3:0:0:0:0, 2+0+2:0:0:0:1, 3+0+4:0:0:0:1, 1+0+1:1:0:0:1, 3+0+2:1:0:0:1, 1+0+1:0:0:0:0, 2+0+3:1:0:0:1, 0+0+0:0:0:0:0, 2+0+4:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 84+0+85:7:0:0:14
B minor (2#), 1+0+1:0:0:0:0, 4+0+2:1:0:0:1, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:2:0:0:0, 0+0+0:0:0:0:0, 7+0+4:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 5+0+4:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+2:2:0:0:0, 5+0+7:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+1:1:0:0:0, 4+0+2:0:0:0:0, 3+0+4:2:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:0:0:1, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+2:0:0:0:0,  , 4+0+2:0:0:0:0, 4+0+4:2:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+4:0:0:0:1, 4+0+4:0:0:0:0, 4+0+3:0:0:0:0, 4+0+5:0:0:0:0, 4+0+1:1:0:0:1, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 0+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 174+0+95:13:0:0:4
