 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, rowcost
C major (0), 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:1:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:1:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:1:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:1:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+1:0:0:0:1, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+1:0:0:0:0,  , 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:1:0:0:1, 3+0+2:0:0:0:0, 4+0+2:1:0:0:0, 3+0+1:0:0:0:0, 4+0+2:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 4+0+0:0:0:0:0, 3+0+3:1:0:0:1, 7+0+3:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:1:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 5+0+4:1:0:0:1, 4+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 160+0+73:9:0:0:5
A minor (0), 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:1:0:0:0, 3+0+1:0:0:0:0, 4+0+3:0:0:0:1, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:1:0:0:0, 3+0+1:0:0:0:0, 4+0+3:0:0:0:1, 1+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+1:0:0:0:1, 3+0+2:0:0:0:0, 4+0+2:0:0:0:0, 2+0+1:0:0:0:0,  , 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:1, 3+0+1:1:0:0:0, 3+0+2:0:0:0:0, 2+0+1:1:0:0:1, 5+0+3:0:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0, 6+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:1:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 5+0+4:1:0:0:1, 4+0+3:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 162+0+70:6:0:0:7
F major (1b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:1, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 6+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:1, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 6+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 2+0+1:1:0:0:1, 2+0+4:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:1:0:0:1, 3+0+3:0:0:0:0, 6+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+3:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:1:0:0:1, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 5+0+3:1:0:0:1, 4+0+3:1:0:0:1, 1+0+0:0:0:0:0, 3+0+2:0:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 122+0+61:7:0:0:9
G major (1#), 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+1:1:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+1:1:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+1:0:0:0:1, 4+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0,  , 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+1:1:0:0:1, 5+0+3:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 5+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+2:1:0:0:1, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 6+0+4:1:0:0:1, 4+0+3:1:0:0:1, 3+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 189+0+53:6:0:0:5
D minor (1b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 5+0+1:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 5+0+1:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:1, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0,  , 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:1:0:0:1, 4+0+2:0:0:0:0, 7+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 7+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:1:0:0:1, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 4+0+4:1:0:0:1, 4+0+3:1:0:0:1, 1+0+2:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 121+0+62:6:0:0:5
E minor (1#), 1+0+3:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+1:1:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+1:1:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+1:0:0:0:1, 4+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0,  , 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:1, 3+0+1:1:0:0:0, 4+0+2:0:0:0:0, 1+0+1:1:0:0:1, 5+0+3:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 4+0+2:0:0:0:1, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:1, 4+0+3:1:0:0:0, 3+0+2:0:0:0:0, 3+0+1:1:0:0:0, 6+0+4:1:0:0:1, 3+0+3:0:0:0:0, 3+0+2:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 189+0+64:7:0:0:6
Bb major (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:1:0:0:1, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 5+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:1:0:0:1, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 5+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 4+0+3:0:0:0:0, 5+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+2:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+3:1:0:0:1, 6+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:1:0:0:1, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:2:0:0:2, 3+0+3:1:0:0:1, 0+0+0:0:0:0:0, 2+0+1:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 89+0+51:7:0:0:11
D major (2#), 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:1:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:1, 5+0+2:0:0:0:0, 5+0+2:0:0:0:0, 4+0+1:0:0:0:0,  , 4+0+1:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:1, 4+0+1:1:0:0:0, 4+0+2:1:0:0:1, 3+0+3:0:0:0:0, 4+0+3:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:1:0:1, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+2:0:0:0:1, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 6+0+3:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 3+0+1:0:0:0:0, 5+0+3:1:0:0:1, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+4:1:0:0:1, 4+0+3:1:0:0:1, 4+0+2:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 217+0+71:7:1:0:8
G minor (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 2+0+1:1:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 6+0+2:0:0:0:0, 2+0+1:1:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 2+0+1:1:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 6+0+2:0:0:0:0, 2+0+1:1:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 4+0+1:1:0:0:1, 6+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+3:1:0:0:1, 6+0+3:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:1:0:0:1, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+4:1:0:0:1, 3+0+3:1:0:0:1, 0+0+2:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 93+0+59:9:0:0:7
B minor (2#), 2+0+3:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:1:0:0:1, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:1:0:0:1, 3+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+1:0:0:0:0, 7+0+2:0:0:0:0, 5+0+1:0:0:0:0, 4+0+2:0:0:0:0,  , 4+0+1:0:0:0:0, 2+0+4:1:0:0:0, 4+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+3:1:0:0:1, 4+0+4:0:0:0:0, 2+0+1:1:0:0:1, 4+0+3:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:1:0:1, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+2:0:0:0:1, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 6+0+3:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 5+0+3:0:0:0:0, 3+0+1:0:0:0:1, 4+0+2:1:1:0:1, 4+0+2:0:0:0:0, 3+0+1:1:0:0:0, 5+0+4:1:0:0:1, 3+0+3:0:0:0:0, 4+0+2:0:0:0:0, 5+0+2:0:0:0:1, 3+0+4:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 218+0+95:8:2:0:10
