 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37
Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), A major (3#), C major (0), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), Ab major (4b)
A major (3#), C minor (3b), F minor (4b), Ab major (4b), F minor (4b), D minor (1b), D minor (1b), A major (3#), G major (1#), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), C major (0), A minor (0), G minor (2b), Bb major (2b), Eb major (3b), Ab major (4b), Ab minor (7b), Ab minor (7b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), C minor (3b), C minor (3b), Bb minor (5b), Eb major (3b), Eb major (3b), Eb major (3b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
C minor (3b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), G minor (2b), A minor (0), C major (0), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), A minor (0), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Bb minor (5b), Eb major (3b), Eb major (3b), Eb major (3b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
F# minor (3#), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), B minor (2#), A major (3#), A minor (0), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), C minor (3b), A minor (0), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab minor (7b), Ab minor (7b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), F minor (4b), F major (1b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b)
E major (4#), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), B major (5#), E major (4#), G major (1#), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), A minor (0), A minor (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
F minor (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F major (1b), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Ab major (4b)
C# minor (4#), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), B major (5#), E major (4#), G major (1#), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb major (3b), C minor (3b), C minor (3b), A minor (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b)
B major (5#), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), B major (5#), E major (4#), G major (1#), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), F major (1b), D minor (1b), D major (2#), F minor (4b), F minor (4b), F minor (4b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Ab major (4b)
Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Eb major (3b), Eb minor (6b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b)
G# minor (5#), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), B major (5#), E major (4#), G major (1#), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), F major (1b), D minor (1b), D major (2#), F minor (4b), F minor (4b), F minor (4b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Ab major (4b)
Gb major (6b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Eb minor (6b), Gb major (6b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab minor (7b), Cb major (7b), Cb major (7b), Gb major (6b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Eb major (3b), Eb minor (6b), Gb major (6b), Db major (5b), Db major (5b), Db major (5b), Gb major (6b), Gb major (6b), Gb major (6b), Db major (5b)
F# major (6#), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), B major (5#), E major (4#), G major (1#), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), C minor (3b), A minor (0), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab minor (7b), Ab minor (7b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb major (3b), Eb minor (6b), Gb major (6b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb minor (6b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Ab minor (7b)
D# minor (6#), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), B major (5#), E major (4#), G major (1#), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), C minor (3b), A minor (0), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab minor (7b), Ab minor (7b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
Cb major (7b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Cb major (7b), Cb major (7b), D major (2#), F major (1b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Eb minor (6b), Gb major (6b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Cb major (7b), Cb major (7b), Gb major (6b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Ab major (4b), Eb minor (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Ab minor (7b)
C# major (7#), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), B major (5#), E major (4#), G major (1#), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb major (3b), C minor (3b), C minor (3b), A minor (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab major (4b), F minor (4b), F major (1b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b), Ab major (4b)
A# minor (7#), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), B major (5#), E major (4#), G major (1#), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb major (3b), C minor (3b), C minor (3b), A minor (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b)
