 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128
Eb major (3b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), C major (0), Eb major (3b), Eb major (3b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), Bb major (2b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), C major (0), C major (0), A major (3#), A minor (0), C major (0), C major (0), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), C minor (3b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), Bb major (2b), Bb minor (5b), Bb major (2b), F minor (4b), F minor (4b), Eb minor (6b), C minor (3b), C major (0), C major (0), A major (3#), C major (0), C major (0), C major (0), C major (0), C major (0), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b)
A major (3#), A minor (0), E minor (1#), A major (3#), A major (3#), C major (0), F major (1b), F major (1b), F major (1b), D minor (1b), C major (0), A minor (0), D minor (1b), G minor (2b), A minor (0), D minor (1b), E minor (1#), A minor (0), E minor (1#), A major (3#), A major (3#), C major (0), A minor (0), A major (3#), A major (3#), D minor (1b), D minor (1b), D minor (1b), D minor (1b), A minor (0), C major (0), A minor (0), A minor (0), A major (3#), E major (4#), E major (4#), E major (4#), A major (3#), A major (3#), A major (3#), A major (3#), A minor (0), A major (3#), A minor (0), C major (0), A minor (0), D minor (1b), A minor (0), E minor (1#), A minor (0), A minor (0), G minor (2b), G minor (2b), D minor (1b), A minor (0), B minor (2#), D major (2#), G major (1#), C major (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), C major (0), C major (0), A minor (0), B minor (2#), D minor (1b), D minor (1b), D minor (1b), D minor (1b), D minor (1b), D minor (1b), A minor (0), A minor (0), E minor (1#), A minor (0), D minor (1b), D minor (1b), D minor (1b), A minor (0), A minor (0), D major (2#), A minor (0), C major (0), C major (0), C major (0), A minor (0), C major (0), A minor (0), A minor (0), A minor (0), A major (3#), A major (3#), A minor (0), E major (4#), E major (4#), B major (5#), E major (4#), A major (3#), E major (4#), A major (3#), D major (2#), G major (1#), D major (2#), G major (1#), E minor (1#), A minor (0), B minor (2#), D minor (1b), D minor (1b), G minor (2b), D minor (1b), A minor (0), A minor (0), D minor (1b), D minor (1b), D minor (1b), D minor (1b), D minor (1b), D minor (1b), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), C major (0), D minor (1b)
C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), C major (0), G minor (2b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), G minor (2b), G minor (2b), G minor (2b), A minor (0), G minor (2b), G minor (2b), G minor (2b), G major (1#), C major (0), A minor (0), A minor (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), C major (0), C minor (3b), G minor (2b), G minor (2b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb minor (5b), F minor (4b), F major (1b), F major (1b), C major (0), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C major (0), C major (0), C major (0), C major (0), C minor (3b), F minor (4b), Bb minor (5b), C minor (3b), F minor (4b), F minor (4b), Eb minor (6b), C minor (3b), C major (0), C major (0), A minor (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), G minor (2b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), Eb major (3b), Eb major (3b), Bb minor (5b), F minor (4b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), F minor (4b), F major (1b), F minor (4b), F minor (4b)
F# minor (3#), A minor (0), E minor (1#), A major (3#), A major (3#), C major (0), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), A minor (0), A minor (0), B minor (2#), A minor (0), B minor (2#), E minor (1#), A minor (0), E minor (1#), A major (3#), A major (3#), C major (0), A minor (0), A major (3#), A major (3#), A major (3#), D minor (1b), D minor (1b), D minor (1b), A minor (0), C major (0), A minor (0), A minor (0), A major (3#), C# minor (4#), C# minor (4#), C# minor (4#), A major (3#), A major (3#), A major (3#), A major (3#), E minor (1#), B minor (2#), B minor (2#), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), G minor (2b), G minor (2b), G minor (2b), A minor (0), B minor (2#), B minor (2#), E minor (1#), A minor (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), A minor (0), C major (0), C major (0), A minor (0), B minor (2#), D minor (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), C major (0), A minor (0), A minor (0), E minor (1#), A minor (0), D minor (1b), D minor (1b), D minor (1b), A minor (0), A minor (0), D major (2#), A minor (0), C major (0), A minor (0), A minor (0), A minor (0), C major (0), A minor (0), A minor (0), A major (3#), A major (3#), A major (3#), A minor (0), B minor (2#), B major (5#), F# major (6#), F# major (6#), F# minor (3#), C# minor (4#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), A minor (0), B minor (2#), D minor (1b), G minor (2b), E minor (1#), B minor (2#), B minor (2#), B minor (2#), D minor (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), C major (0), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), E minor (1#), B minor (2#)
Ab major (4b), Eb major (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), F minor (4b), Ab major (4b), Db major (5b), Ab major (4b), Eb major (3b), C minor (3b), F minor (4b), F major (1b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), Eb major (3b), Eb major (3b), Eb major (3b), F minor (4b), Eb minor (6b), Eb minor (6b), Eb minor (6b), F major (1b), F minor (4b), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), C minor (3b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), F minor (4b), F major (1b), F major (1b), F major (1b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), F major (1b), F major (1b), F major (1b), F major (1b), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), F minor (4b), F minor (4b), Eb minor (6b), C minor (3b), A minor (0), E minor (1#), A major (3#), D major (2#), F major (1b), C major (0), C major (0), F major (1b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F minor (4b), F major (1b), F minor (4b), Ab major (4b)
E major (4#), A minor (0), E minor (1#), E major (4#), E major (4#), E minor (1#), A minor (0), A minor (0), A minor (0), D minor (1b), C major (0), G major (1#), G major (1#), G minor (2b), A minor (0), D minor (1b), E minor (1#), A minor (0), E minor (1#), E major (4#), E major (4#), G minor (2b), A minor (0), A major (3#), A major (3#), A major (3#), D minor (1b), D minor (1b), D minor (1b), G major (1#), G minor (2b), A minor (0), A minor (0), A major (3#), E major (4#), E major (4#), E major (4#), A major (3#), A major (3#), A major (3#), E major (4#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), G minor (2b), G minor (2b), G minor (2b), G major (1#), B minor (2#), B minor (2#), E minor (1#), A minor (0), A minor (0), A major (3#), E major (4#), A minor (0), A minor (0), A minor (0), D minor (1b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), D minor (1b), D minor (1b), G minor (2b), D minor (1b), A minor (0), A minor (0), E minor (1#), A minor (0), D minor (1b), D minor (1b), D minor (1b), A minor (0), A minor (0), D major (2#), G minor (2b), G minor (2b), A minor (0), A minor (0), A minor (0), A minor (0), E minor (1#), E minor (1#), E major (4#), A major (3#), E major (4#), A minor (0), E major (4#), B major (5#), B major (5#), E major (4#), A major (3#), E major (4#), B major (5#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), A minor (0), G minor (2b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), A minor (0), A minor (0), D minor (1b), D minor (1b), D minor (1b), D minor (1b), G minor (2b), D minor (1b), A minor (0), A minor (0), D minor (1b), D minor (1b), A minor (0), E minor (1#), B minor (2#)
F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), Bb minor (5b), F minor (4b), F major (1b), C minor (3b), F minor (4b), F major (1b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Ab major (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), Eb minor (6b), Eb minor (6b), Eb minor (6b), F major (1b), C major (0), D major (2#), D major (2#), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), C minor (3b), G minor (2b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), G minor (2b), G minor (2b), Bb major (2b), F major (1b), C major (0), C minor (3b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C major (0), F major (1b), F major (1b), F major (1b), C minor (3b), F minor (4b), Bb minor (5b), F major (1b), F minor (4b), F minor (4b), Eb minor (6b), C minor (3b), C major (0), F major (1b), D major (2#), D minor (1b), F major (1b), C major (0), C major (0), C major (0), F major (1b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b)
C# minor (4#), A minor (0), E minor (1#), E major (4#), E major (4#), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), G major (1#), G major (1#), G minor (2b), A minor (0), D minor (1b), E minor (1#), A minor (0), E minor (1#), E major (4#), E major (4#), G minor (2b), G minor (2b), E major (4#), E major (4#), A major (3#), D minor (1b), D minor (1b), B minor (2#), G major (1#), G minor (2b), A minor (0), A minor (0), E major (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), E major (4#), E major (4#), E major (4#), E minor (1#), B minor (2#), B minor (2#), E minor (1#), A minor (0), D minor (1b), G minor (2b), E minor (1#), A minor (0), A minor (0), G minor (2b), G minor (2b), G minor (2b), G major (1#), B minor (2#), B minor (2#), E minor (1#), C major (0), A minor (0), A major (3#), E major (4#), A minor (0), A minor (0), A minor (0), D minor (1b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), G minor (2b), G minor (2b), E minor (1#), B minor (2#), E minor (1#), A minor (0), D minor (1b), D minor (1b), B minor (2#), E minor (1#), A minor (0), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), A minor (0), C major (0), E minor (1#), E minor (1#), E major (4#), A major (3#), E major (4#), A minor (0), E major (4#), E major (4#), B major (5#), E major (4#), E major (4#), E major (4#), B major (5#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), A minor (0), G minor (2b), Bb major (2b), G minor (2b), E minor (1#), B minor (2#), B minor (2#), B minor (2#), D minor (1b), F major (1b), D minor (1b), D minor (1b), G minor (2b), D minor (1b), A minor (0), A major (3#), D minor (1b), D minor (1b), A minor (0), E minor (1#), B minor (2#)
Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Ab major (4b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), C minor (3b), F minor (4b), F major (1b), Ab major (4b), Eb major (3b), Bb major (2b), G minor (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Ab major (4b), Db major (5b), Db major (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), Eb minor (6b), Eb minor (6b), Eb minor (6b), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), G major (1#), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), F minor (4b), F minor (4b), Eb minor (6b), C minor (3b), A minor (0), E minor (1#), A major (3#), D major (2#), G major (1#), G major (1#), G minor (2b), G major (1#), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b)
B major (5#), A minor (0), E minor (1#), E major (4#), E major (4#), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), G major (1#), D major (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), A minor (0), E minor (1#), E major (4#), E major (4#), B minor (2#), B major (5#), B minor (2#), B minor (2#), D major (2#), D minor (1b), D minor (1b), B minor (2#), B major (5#), E minor (1#), A minor (0), A minor (0), E major (4#), B major (5#), B major (5#), B major (5#), B minor (2#), B major (5#), B major (5#), E major (4#), E minor (1#), B minor (2#), B minor (2#), E minor (1#), A minor (0), D minor (1b), G minor (2b), E minor (1#), A minor (0), D minor (1b), G minor (2b), G minor (2b), G minor (2b), G major (1#), B minor (2#), B minor (2#), E minor (1#), D minor (1b), E minor (1#), B minor (2#), E minor (1#), A minor (0), D minor (1b), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), D minor (1b), E minor (1#), B minor (2#), E minor (1#), A minor (0), D minor (1b), D minor (1b), B minor (2#), E minor (1#), A minor (0), D major (2#), F major (1b), F major (1b), C major (0), C major (0), A minor (0), D minor (1b), D major (2#), D major (2#), A major (3#), A major (3#), E major (4#), A major (3#), B major (5#), B major (5#), B major (5#), B major (5#), E major (4#), B major (5#), B major (5#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), A minor (0), B minor (2#), D minor (1b), G minor (2b), E minor (1#), B minor (2#), B minor (2#), B minor (2#), D minor (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), D minor (1b), E minor (1#), B minor (2#), D minor (1b), D minor (1b), A minor (0), E minor (1#), B minor (2#)
Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F minor (4b), F major (1b), F minor (4b), C minor (3b), Bb major (2b), G minor (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), Eb minor (6b), Eb minor (6b), Eb minor (6b), F major (1b), F minor (4b), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), F minor (4b), F minor (4b), Eb minor (6b), C minor (3b), G minor (2b), E minor (1#), A major (3#), D major (2#), G major (1#), G major (1#), G minor (2b), G minor (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), F major (1b), F minor (4b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b)
G# minor (5#), A minor (0), E minor (1#), C# minor (4#), C# minor (4#), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), G major (1#), D major (2#), B minor (2#), A minor (0), D minor (1b), E minor (1#), A minor (0), E minor (1#), C# minor (4#), C# minor (4#), B minor (2#), B major (5#), B major (5#), B major (5#), D major (2#), D minor (1b), D minor (1b), B minor (2#), B major (5#), D minor (1b), A minor (0), A minor (0), E major (4#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), E major (4#), B major (5#), E major (4#), E minor (1#), B minor (2#), B minor (2#), E minor (1#), A minor (0), D minor (1b), G minor (2b), G minor (2b), D minor (1b), D minor (1b), G minor (2b), G minor (2b), G minor (2b), G major (1#), B minor (2#), B minor (2#), E minor (1#), D minor (1b), A minor (0), A major (3#), E major (4#), A minor (0), D minor (1b), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), F major (1b), D minor (1b), A minor (0), B minor (2#), E minor (1#), A minor (0), D minor (1b), D minor (1b), D minor (1b), A minor (0), A minor (0), D minor (1b), F major (1b), F major (1b), C major (0), C major (0), A minor (0), D minor (1b), D major (2#), D major (2#), E major (4#), A major (3#), E major (4#), A minor (0), B minor (2#), B major (5#), B major (5#), B major (5#), E major (4#), B major (5#), B major (5#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), A minor (0), B minor (2#), D minor (1b), G minor (2b), E minor (1#), B minor (2#), B minor (2#), B minor (2#), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), D minor (1b), A minor (0), B minor (2#), D minor (1b), D minor (1b), F major (1b), F major (1b), D minor (1b)
Gb major (6b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Eb major (3b), C minor (3b), F minor (4b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), C major (0), C major (0), A major (3#), A minor (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), C major (0), C minor (3b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Bb major (2b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), Db major (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), F major (1b), C major (0), C major (0), C minor (3b), F minor (4b), Bb minor (5b), Eb minor (6b), F minor (4b), Db major (5b), Gb major (6b), C minor (3b), A minor (0), E minor (1#), A major (3#), D major (2#), G major (1#), G major (1#), G minor (2b), G minor (2b), Bb minor (5b), Eb minor (6b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Db major (5b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Eb major (3b), Ab major (4b), Bb minor (5b), Bb major (2b), Bb major (2b), Eb major (3b)
F# major (6#), A minor (0), E minor (1#), F# minor (3#), F# minor (3#), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), A minor (0), D minor (1b), G minor (2b), A minor (0), D minor (1b), E minor (1#), A minor (0), E minor (1#), F# minor (3#), F# minor (3#), B minor (2#), B major (5#), B major (5#), B major (5#), A major (3#), D minor (1b), D minor (1b), D minor (1b), A minor (0), C major (0), A minor (0), A minor (0), A major (3#), F# major (6#), F# major (6#), F# major (6#), F# minor (3#), B major (5#), B major (5#), E major (4#), E minor (1#), B minor (2#), B minor (2#), E minor (1#), A minor (0), D minor (1b), A minor (0), B minor (2#), A minor (0), A minor (0), G minor (2b), G minor (2b), G minor (2b), G major (1#), B minor (2#), B minor (2#), E minor (1#), C major (0), A minor (0), A major (3#), E major (4#), A minor (0), A minor (0), A minor (0), D minor (1b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), F major (1b), F minor (4b), F major (1b), F major (1b), C major (0), A minor (0), A major (3#), E minor (1#), A minor (0), D minor (1b), D minor (1b), D minor (1b), A minor (0), A major (3#), D major (2#), F major (1b), F major (1b), C major (0), C major (0), A minor (0), C major (0), A minor (0), A minor (0), A major (3#), A major (3#), E major (4#), A major (3#), B major (5#), B major (5#), F# major (6#), F# major (6#), F# minor (3#), B major (5#), B major (5#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), A minor (0), B minor (2#), D minor (1b), G minor (2b), E minor (1#), B minor (2#), B major (5#), B major (5#), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), C major (0), A minor (0), A major (3#), D minor (1b), D minor (1b), A minor (0), E minor (1#), B minor (2#)
