 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36
Eb major (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab minor (7b), Eb major (3b), C major (0), C minor (3b), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), A minor (0), G minor (2b)
A major (3#), C major (0), C major (0), A major (3#), A minor (0), C major (0), G major (1#), D major (2#), D major (2#), C major (0), C major (0), A major (3#), A minor (0), C major (0), G major (1#), G major (1#), C major (0), A major (3#), E major (4#), A major (3#), A major (3#), A minor (0), C major (0), C major (0), A minor (0), C major (0), C major (0), A major (3#), A minor (0), C major (0), G major (1#), D major (2#), D major (2#), D major (2#), A major (3#), D major (2#), A major (3#), A major (3#)
C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C major (0), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C major (0), A minor (0), C major (0), A minor (0), G minor (2b)
F# minor (3#), D# minor (6#), D# minor (6#), A major (3#), A minor (0), A minor (0), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), A major (3#), A minor (0), A minor (0), E minor (1#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), F# minor (3#), A major (3#), A minor (0), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), A major (3#), A minor (0), A minor (0), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), A major (3#), A major (3#)
Ab major (4b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab minor (7b), Eb major (3b), F major (1b), F minor (4b), C minor (3b), C minor (3b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), A minor (0), G minor (2b)
E major (4#), F# minor (3#), F# major (6#), A major (3#), A minor (0), E minor (1#), E minor (1#), B minor (2#), B minor (2#), F# minor (3#), F# major (6#), A major (3#), A minor (0), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), A major (3#), A major (3#), E minor (1#), E minor (1#), G major (1#), E minor (1#), F# minor (3#), F# major (6#), A major (3#), A minor (0), E minor (1#), E minor (1#), E minor (1#), E minor (1#), G major (1#), E minor (1#), G major (1#), E minor (1#), E minor (1#)
F minor (4b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab minor (7b), F major (1b), F major (1b), F minor (4b), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), A minor (0), G minor (2b)
C# minor (4#), D# minor (6#), D# minor (6#), A major (3#), A minor (0), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), A major (3#), A minor (0), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), F# minor (3#), C# major (7#), C# minor (4#), E minor (1#), F# minor (3#), F# minor (3#), D# minor (6#), D# minor (6#), A major (3#), A minor (0), E minor (1#), E minor (1#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), E major (4#), E major (4#)
Db major (5b), Eb minor (6b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Eb major (3b), Eb minor (6b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), G minor (2b), F minor (4b), Ab minor (7b), Eb major (3b), F major (1b), F minor (4b), C minor (3b), C minor (3b), Bb minor (5b), Eb minor (6b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Eb minor (6b), Bb minor (5b)
B major (5#), D# minor (6#), D# minor (6#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), D major (2#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E major (4#), E major (4#)
Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab minor (7b), Bb major (2b), F major (1b), F minor (4b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), C minor (3b), G minor (2b), G major (1#), G minor (2b)
G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), C# minor (4#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), C# minor (4#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B major (5#), B major (5#), D# minor (6#), C# major (7#), C# minor (4#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), C# minor (4#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E major (4#), C# minor (4#)
Gb major (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab minor (7b), Eb minor (6b), C major (0), C minor (3b), C minor (3b), C minor (3b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb minor (6b), Gb major (6b)
F# major (6#), D# minor (6#), D# minor (6#), D# minor (6#), A minor (0), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), A minor (0), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B major (5#), B major (5#), D# minor (6#), C# major (7#), C# major (7#), E minor (1#), F# minor (3#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), A minor (0), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#)
Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab minor (7b), Eb major (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb minor (6b), Eb minor (6b)
D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), A minor (0), A minor (0), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), A minor (0), A minor (0), E minor (1#), B minor (2#), E minor (1#), B major (5#), B major (5#), D# minor (6#), C# major (7#), C# minor (4#), E minor (1#), F# minor (3#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), A minor (0), A minor (0), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), F# major (6#)
Cb major (7b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab minor (7b), Eb minor (6b), F major (1b), F minor (4b), C minor (3b), C minor (3b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb minor (6b), Gb major (6b)
C# major (7#), D# minor (6#), D# minor (6#), D# minor (6#), G major (1#), G major (1#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), G major (1#), G major (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), F# minor (3#), C# major (7#), C# minor (4#), E minor (1#), F# minor (3#), C# minor (4#), D# minor (6#), D# minor (6#), D# minor (6#), G major (1#), G major (1#), E minor (1#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), E major (4#), C# minor (4#)
Ab minor (7b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), C minor (3b), F minor (4b), Ab minor (7b), Eb minor (6b), F major (1b), F minor (4b), C minor (3b), C minor (3b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb major (3b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb minor (6b), Eb minor (6b)
A# minor (7#), D# minor (6#), D# minor (6#), D# minor (6#), G major (1#), G major (1#), E minor (1#), B minor (2#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), G major (1#), G major (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), B major (5#), D# minor (6#), C# major (7#), C# minor (4#), E minor (1#), F# minor (3#), C# minor (4#), D# minor (6#), D# minor (6#), D# minor (6#), G major (1#), G major (1#), E minor (1#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), E major (4#), C# minor (4#)
