 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
F# minor (3#), B minor (2#), D minor (1b), A minor (0), G minor (2b), A minor (0), G minor (2b), D minor (1b), D minor (1b), F major (1b), D minor (1b), D major (2#), C major (0), A minor (0), D major (2#), D minor (1b), F major (1b), C major (0), F major (1b), C major (0), G minor (2b), A minor (0), C major (0), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), E minor (1#), G minor (2b), C major (0), A minor (0), B minor (2#)
Ab major (4b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), F major (1b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Ab major (4b), Eb major (3b), Bb major (2b), Eb major (3b)
E major (4#), B minor (2#), D minor (1b), A minor (0), G minor (2b), A minor (0), G minor (2b), D minor (1b), D minor (1b), G minor (2b), D minor (1b), D major (2#), C major (0), A minor (0), D major (2#), D minor (1b), G minor (2b), G minor (2b), D minor (1b), A minor (0), G minor (2b), A minor (0), A minor (0), E minor (1#), G major (1#), G major (1#), E minor (1#), A minor (0), C major (0), G major (1#), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
F minor (4b), C minor (3b), F major (1b), F major (1b), F minor (4b), C minor (3b), G minor (2b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F major (1b), D minor (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F major (1b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Ab major (4b), F major (1b), F major (1b), F major (1b)
C# minor (4#), B minor (2#), D minor (1b), A minor (0), G minor (2b), C minor (3b), G minor (2b), D minor (1b), D minor (1b), G minor (2b), G minor (2b), D minor (1b), F major (1b), A minor (0), D minor (1b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), E minor (1#), E minor (1#), A minor (0), C major (0), G major (1#), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
Db major (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Ab major (4b), Eb major (3b), Bb major (2b), Bb minor (5b)
B major (5#), B minor (2#), D minor (1b), F major (1b), G minor (2b), C minor (3b), G minor (2b), D minor (1b), D minor (1b), F major (1b), D minor (1b), D major (2#), F major (1b), A minor (0), D major (2#), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), E minor (1#), E minor (1#), A minor (0), D minor (1b), G minor (2b), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b)
G# minor (5#), B minor (2#), D minor (1b), F major (1b), G minor (2b), C minor (3b), G minor (2b), D minor (1b), D minor (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), A minor (0), D minor (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), E minor (1#), A minor (0), D minor (1b), G minor (2b), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
Gb major (6b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Ab major (4b), Eb major (3b), Eb minor (6b), Gb major (6b)
F# major (6#), B minor (2#), D minor (1b), A minor (0), G minor (2b), C minor (3b), G minor (2b), D minor (1b), D minor (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), A minor (0), D minor (1b), D minor (1b), F major (1b), C major (0), F major (1b), C major (0), G minor (2b), C minor (3b), C major (0), F major (1b), C major (0), G major (1#), E minor (1#), A minor (0), C major (0), G major (1#), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
Eb minor (6b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b)
D# minor (6#), B minor (2#), D minor (1b), A minor (0), G minor (2b), C minor (3b), G minor (2b), D minor (1b), D minor (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), A minor (0), D minor (1b), D minor (1b), F major (1b), C major (0), F major (1b), C major (0), G minor (2b), C minor (3b), C major (0), F major (1b), C major (0), G major (1#), E minor (1#), A minor (0), C major (0), G major (1#), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
Cb major (7b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Ab major (4b), Eb major (3b), Eb minor (6b), Gb major (6b)
C# major (7#), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), G minor (2b), D minor (1b), D minor (1b), G minor (2b), G minor (2b), D minor (1b), F major (1b), A minor (0), D minor (1b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), E minor (1#), A minor (0), C major (0), G major (1#), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
Ab minor (7b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), Ab major (4b), Eb major (3b), Eb minor (6b), Eb minor (6b)
A# minor (7#), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), G minor (2b), D minor (1b), D minor (1b), G minor (2b), G minor (2b), D minor (1b), F major (1b), A minor (0), D minor (1b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), E minor (1#), A minor (0), C major (0), G major (1#), G minor (2b), G minor (2b), D minor (1b), B minor (2#)
