 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
F# minor (3#), A major (3#), A minor (0), A minor (0), A major (3#), D major (2#), D minor (1b), A minor (0), A major (3#), A major (3#), D major (2#), D minor (1b), D major (2#), C major (0), A minor (0), A minor (0), D minor (1b), D major (2#), D minor (1b), A minor (0), C major (0), A minor (0), B minor (2#), E minor (1#), A minor (0)
Ab major (4b), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F minor (4b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), A minor (0)
E major (4#), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), E minor (1#), G major (1#), D major (2#), C major (0), A minor (0), E minor (1#), A minor (0), E minor (1#), A minor (0), A minor (0), C major (0), A minor (0), E minor (1#), E minor (1#), E major (4#)
F minor (4b), C major (0), F major (1b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), C major (0)
C# minor (4#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E minor (1#), C major (0), A minor (0), A major (3#), E major (4#), E minor (1#), D minor (1b), D minor (1b), C major (0), A minor (0), E minor (1#), D minor (1b), D major (2#), D minor (1b), A minor (0), C major (0), A minor (0), B minor (2#), E minor (1#), E major (4#)
Db major (5b), G minor (2b), G major (1#), C major (0), G major (1#), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), G major (1#), G major (1#), Bb major (2b), Bb major (2b), Eb major (3b), C major (0), C major (0), F minor (4b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C major (0), C major (0), A minor (0)
B major (5#), E minor (1#), B minor (2#), D major (2#), A major (3#), D major (2#), D minor (1b), A minor (0), B minor (2#), E minor (1#), E minor (1#), D minor (1b), D major (2#), C major (0), A major (3#), D major (2#), D minor (1b), D major (2#), D minor (1b), A minor (0), D minor (1b), A minor (0), B minor (2#), E minor (1#), E major (4#)
Bb minor (5b), G minor (2b), F major (1b), F major (1b), C major (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), G major (1#), G minor (2b), Bb major (2b), F major (1b), F major (1b), C major (0), G minor (2b), F minor (4b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), F major (1b), A minor (0)
G# minor (5#), E minor (1#), A minor (0), A minor (0), A major (3#), D major (2#), D minor (1b), A minor (0), B minor (2#), E minor (1#), E minor (1#), D minor (1b), D minor (1b), F major (1b), A minor (0), E minor (1#), D minor (1b), D major (2#), D minor (1b), A minor (0), D minor (1b), A minor (0), B minor (2#), E minor (1#), E major (4#)
Gb major (6b), C major (0), C major (0), C major (0), C major (0), C major (0), F major (1b), Bb major (2b), Eb major (3b), C major (0), C major (0), F major (1b), F major (1b), Eb major (3b), C major (0), C major (0), F major (1b), C major (0), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), C major (0), C major (0), A minor (0)
F# major (6#), A major (3#), A minor (0), A minor (0), A major (3#), D major (2#), D minor (1b), A minor (0), A major (3#), E major (4#), E minor (1#), D minor (1b), D minor (1b), C major (0), A major (3#), A major (3#), D minor (1b), D major (2#), D minor (1b), A minor (0), C major (0), A minor (0), B minor (2#), E minor (1#), A major (3#)
Eb minor (6b), C major (0), C major (0), C major (0), C major (0), C major (0), Bb major (2b), Bb major (2b), Eb major (3b), C major (0), C major (0), F major (1b), Bb major (2b), Eb major (3b), C major (0), C major (0), Eb major (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), C major (0), C major (0), A minor (0)
D# minor (6#), A major (3#), A minor (0), A minor (0), A major (3#), D major (2#), D minor (1b), A minor (0), A major (3#), E major (4#), E minor (1#), D minor (1b), D minor (1b), C major (0), A minor (0), A minor (0), D minor (1b), D major (2#), D minor (1b), A minor (0), C major (0), A minor (0), C major (0), A minor (0), A major (3#)
Cb major (7b), C major (0), F major (1b), C major (0), C major (0), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), C major (0), A minor (0)
C# major (7#), E minor (1#), A minor (0), A minor (0), A major (3#), D major (2#), D minor (1b), A minor (0), A major (3#), E major (4#), E minor (1#), D minor (1b), D minor (1b), C major (0), A minor (0), E minor (1#), D minor (1b), D major (2#), D minor (1b), A minor (0), C major (0), A minor (0), B minor (2#), E minor (1#), E major (4#)
Ab minor (7b), C major (0), F major (1b), C major (0), C major (0), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), C major (0), F major (1b), C major (0), F major (1b), F major (1b), F minor (4b), F major (1b), C major (0), C major (0), A minor (0)
A# minor (7#), E minor (1#), A minor (0), A minor (0), A major (3#), D major (2#), D minor (1b), A minor (0), A major (3#), E major (4#), E minor (1#), D minor (1b), D minor (1b), C major (0), A minor (0), E minor (1#), D minor (1b), D major (2#), D minor (1b), A minor (0), C major (0), A minor (0), B minor (2#), E minor (1#), E major (4#)
