 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26
C minor (3b), C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), F minor (4b), C minor (3b), G minor (2b), C major (0), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), Bb minor (5b), Eb minor (6b), Eb major (3b), C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0)
F# minor (3#), C# minor (4#), B minor (2#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), F# minor (3#), F# major (6#), B minor (2#), E minor (1#), F# minor (3#), F# major (6#), F# minor (3#), E minor (1#), E minor (1#), A minor (0), E minor (1#), A minor (0), D minor (1b), F major (1b), D minor (1b), D major (2#)
Ab major (4b), Ab major (4b), F minor (4b), F major (1b), F minor (4b), F major (1b), F major (1b), F minor (4b), F minor (4b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b), Ab major (4b), Eb major (3b), Bb major (2b), Db major (5b), Db major (5b), Ab major (4b), F minor (4b), F minor (4b), F major (1b), F minor (4b), F major (1b), F major (1b), F minor (4b), F minor (4b), Ab major (4b)
E major (4#), E minor (1#), E minor (1#), A minor (0), E minor (1#), A minor (0), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), E major (4#), F# major (6#), B minor (2#), E minor (1#), E major (4#), F# major (6#), F# minor (3#), E minor (1#), E minor (1#), A minor (0), E minor (1#), A minor (0), B minor (2#), E minor (1#), G major (1#), E minor (1#)
F minor (4b), F minor (4b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), F minor (4b), F minor (4b), C minor (3b), G minor (2b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F major (1b), Bb minor (5b), Db major (5b), Ab major (4b), F minor (4b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), F major (1b)
C# minor (4#), C# minor (4#), E minor (1#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), E major (4#), F# major (6#), B minor (2#), E minor (1#), C# minor (4#), C# major (7#), C# major (7#), E minor (1#), E minor (1#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), D minor (1b), E minor (1#)
Db major (5b), Ab major (4b), F minor (4b), Bb major (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), F minor (4b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Bb major (2b), Bb minor (5b), Db major (5b), Ab major (4b), F minor (4b), F minor (4b), Bb major (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), F minor (4b), Ab major (4b)
B major (5#), E minor (1#), B minor (2#), D major (2#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), G# minor (5#), G# minor (5#), B major (5#), F# major (6#), B minor (2#), E minor (1#), B major (5#), F# major (6#), F# minor (3#), E minor (1#), B minor (2#), D major (2#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), D minor (1b), D major (2#)
Bb minor (5b), Bb minor (5b), F minor (4b), Bb major (2b), G minor (2b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), F minor (4b), Bb major (2b), Bb minor (5b), Db major (5b), Bb minor (5b), F minor (4b), F minor (4b), Bb major (2b), G minor (2b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b)
G# minor (5#), C# minor (4#), B minor (2#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), G# minor (5#), G# minor (5#), B major (5#), F# major (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), E minor (1#), B minor (2#), F# minor (3#), B minor (2#), A minor (0), D minor (1b), F major (1b), D minor (1b), B minor (2#)
Gb major (6b), Db major (5b), F minor (4b), F major (1b), C major (0), C minor (3b), F minor (4b), Ab major (4b), Ab minor (7b), Eb major (3b), Bb major (2b), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Db major (5b), Gb major (6b), Gb major (6b), Db major (5b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b)
F# major (6#), C# major (7#), B minor (2#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), G# minor (5#), F# minor (3#), F# major (6#), F# major (6#), B minor (2#), E minor (1#), F# minor (3#), F# major (6#), F# minor (3#), E minor (1#), B minor (2#), F# minor (3#), B minor (2#), A minor (0), D minor (1b), F major (1b), D minor (1b), B minor (2#)
Eb minor (6b), Eb major (3b), C minor (3b), Bb major (2b), G minor (2b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Eb major (3b), Bb major (2b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Bb minor (5b), F minor (4b), F minor (4b), Bb major (2b), G minor (2b), C minor (3b), F minor (4b), Eb major (3b), Bb major (2b), Eb major (3b)
D# minor (6#), A# minor (7#), B minor (2#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), G# minor (5#), G# minor (5#), D# minor (6#), F# major (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), D# minor (6#), C major (0), C major (0), C major (0), E minor (1#), A minor (0), D minor (1b), F major (1b), D minor (1b), D major (2#)
Cb major (7b), Ab major (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), Ab major (4b), Ab minor (7b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Bb major (2b), Bb minor (5b), Db major (5b), Ab major (4b), F minor (4b), F minor (4b), F major (1b), C major (0), C major (0), F major (1b), F minor (4b), F minor (4b), Ab major (4b)
C# major (7#), C# minor (4#), E minor (1#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), G# minor (5#), G# minor (5#), C# major (7#), F# major (6#), B minor (2#), E minor (1#), C# minor (4#), C# major (7#), C# major (7#), E minor (1#), E minor (1#), F# minor (3#), E minor (1#), A minor (0), D minor (1b), F major (1b), D minor (1b), D major (2#)
Ab minor (7b), Ab major (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), Ab major (4b), Ab minor (7b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb minor (6b), F minor (4b), F minor (4b), F major (1b), C major (0), F major (1b), F minor (4b), Ab major (4b), F minor (4b), Ab major (4b)
A# minor (7#), A# minor (7#), E minor (1#), A minor (0), E minor (1#), A minor (0), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), G# minor (5#), G# minor (5#), D# minor (6#), F# major (6#), G# minor (5#), G# minor (5#), D# minor (6#), D# minor (6#), A# minor (7#), E minor (1#), E minor (1#), A minor (0), E minor (1#), A minor (0), D minor (1b), F major (1b), D minor (1b), D major (2#)
